2016-10-23 00:04:33.1779 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:34.5779 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:35.9680 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:37.1651 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:38.4272 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:39.6012 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:40.7853 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:41.9504 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:43.4124 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:44.8955 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:46.3396 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:47.6597 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:48.9378 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:50.1698 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:51.3519 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:52.4820 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:53.9180 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:55.3411 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:57.0522 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:58.4773 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:59.7994 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:05:00.9794 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:05:02.1385 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:05:03.3356 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:05:04.6587 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

